"","class","gene_id","Function.classification","function.","note.location","gene_name","Description","fc","log2.fc.","pval","qval","regulation","GO","KEGG","KO_ENTRY","EC","significant"
"39","Hypoxia-related responses (mitophagy/autophagy/stresses)","ENSBTAG00000053645","Mito metabolism/oxidative stress","","","CYP3A5","cytochrome P450, family 3, subfamily A, polypeptide 5 ",0.11,-3.12,0.02,0.05,"down","GO:0004497(monooxygenase activity);GO:0005506(iron ion binding);GO:0016020(membrane);GO:0016021(integral component of membrane);GO:0016491(oxidoreductase activity);GO:0016705(oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen);GO:0016712(oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced flavin or flavoprotein as one donor, and incorporation of one atom of oxygen);GO:0020037(heme binding);GO:0046872(metal ion binding);GO:0055114(oxidation-reduction process)","00140(Steroid hormone biosynthesis);00591(Linoleic acid metabolism);00830(Retinol metabolism);05204(Chemical carcinogenesis)","K07424","EC:1.14.14.1","yes"
"40","Hypoxia-related responses (mitophagy/autophagy/stresses)","ENSBTAG00000011224","HIF-1 signaling","egative regulator for hypoxia-inducible 1a, it inhibits transactivation of HIF1A-induced genes by competing with binding of hypoxia-inducible factor 1-alpha to p300-CH1.","","CITED2","Cbp/p300 interacting transactivator with Glu/Asp rich carboxy-terminal domain 2 ",2.21,1.14,0,0,"up","GO:0000790(nuclear chromatin);GO:0001102(RNA polymerase II activating transcription factor binding);GO:0001568(blood vessel development);GO:0001570(vasculogenesis);GO:0001666(response to hypoxia);GO:0001701(in utero embryonic development);GO:0001829(trophectodermal cell differentiation);GO:0001841(neural tube formation);GO:0001843(neural tube closure);GO:0001889(liver development);GO:0001892(embryonic placenta development);GO:0001944(vasculature development);GO:0001947(heart looping);GO:0002089(lens morphogenesis in camera-type eye);GO:0002244(hematopoietic progenitor cell differentiation);GO:0002521(leukocyte differentiation);GO:0003151(outflow tract morphogenesis);GO:0003156(regulation of animal organ formation);GO:0003197(endocardial cushion development);GO:0003281(ventricular septum development);GO:0003682(chromatin binding);GO:0003700(DNA-binding transcription factor activity);GO:0003713(transcription coactivator activity);GO:0003714(transcription corepressor activity);GO:0005634(nucleus);GO:0006355(regulation of transcription, DNA-templated);GO:0006357(regulation of transcription by RNA polymerase II);GO:0007179(transforming growth factor beta receptor signaling pathway);GO:0007275(multicellular organism development);GO:0007368(determination of left/right symmetry);GO:0007417(central nervous system development);GO:0007422(peripheral nervous system development);GO:0007507(heart development);GO:0007530(sex determination);GO:0008584(male gonad development);GO:0021602(cranial nerve morphogenesis);GO:0022409(positive regulation of cell-cell adhesion);GO:0030154(cell differentiation);GO:0030325(adrenal gland development);GO:0030511(positive regulation of transforming growth factor beta receptor signaling pathway);GO:0030851(granulocyte differentiation);GO:0035360(positive regulation of peroxisome proliferator activated receptor signaling pathway);GO:0035802(adrenal cortex formation);GO:0035914(skeletal muscle cell differentiation);GO:0043066(negative regulation of apoptotic process);GO:0043627(response to estrogen);GO:0045787(positive regulation of cell cycle);GO:0045893(positive regulation of transcription, DNA-templated);GO:0045944(positive regulation of transcription by RNA polymerase II);GO:0046332(SMAD binding);GO:0046697(decidualization);GO:0048536(spleen development);GO:0048538(thymus development);GO:0048596(embryonic camera-type eye morphogenesis);GO:0048821(erythrocyte development);GO:0060136(embryonic process involved in female pregnancy);GO:0060349(bone morphogenesis);GO:0060411(cardiac septum morphogenesis);GO:0060412(ventricular septum morphogenesis);GO:0060971(embryonic heart tube left/right pattern formation);GO:0061156(pulmonary artery morphogenesis);GO:0061308(cardiac neural crest cell development involved in heart development);GO:0061371(determination of heart left/right asymmetry);GO:0070986(left/right axis specification);GO:1900164(nodal signaling pathway involved in determination of lateral mesoderm left/right asymmetry);GO:1903507(negative regulation of nucleic acid-templated transcription);GO:2000020(positive regulation of male gonad development)","04137(Mitophagy - animal)","K21361",NA,"yes"
"42","Hypoxia-related responses (mitophagy/autophagy/stresses)","ENSBTAG00000018453","HIF-1 traget","ANKRD37 as a novel HIF-1-target gene","cytosol; mitochondrion; and nucleoplasm","ANKRD37","ankyrin repeat domain 37 ",13.04,3.7,0,0,"up","GO:0005515(protein binding);GO:0005634(nucleus);GO:0005737(cytoplasm);GO:0005739(mitochondrion);GO:0005829(cytosol)",NA,NA,NA,"yes"
"43","Hypoxia-related responses (mitophagy/autophagy/stresses)","ENSBTAG00000038757","oxygen binding","","","HBM","hemoglobin subunit mu ",2074.99,11.02,0,0,"up","GO:0004601(peroxidase activity);GO:0005344(oxygen carrier activity);GO:0005515(protein binding);GO:0005833(hemoglobin complex);GO:0015671(oxygen transport);GO:0019825(oxygen binding);GO:0020037(heme binding);GO:0031720(haptoglobin binding);GO:0031838(haptoglobin-hemoglobin complex);GO:0042744(hydrogen peroxide catabolic process);GO:0043177(organic acid binding);GO:0046872(metal ion binding);GO:0051291(protein heterooligomerization);GO:0098869(cellular oxidant detoxification)",NA,"K13828",NA,"yes"
"44","Hypoxia-related responses (mitophagy/autophagy/stresses)","ENSBTAG00000038921","oxygen sensing","Zeta-globin is an alpha-like hemoglobin.","HBZ","ENSBTAG00000038921","hemoglobin subunit zeta ",1927.28,10.91,0.02,0.04,"up","GO:0004601(peroxidase activity);GO:0005344(oxygen carrier activity);GO:0005506(iron ion binding);GO:0005515(protein binding);GO:0005833(hemoglobin complex);GO:0015671(oxygen transport);GO:0019825(oxygen binding);GO:0020037(heme binding);GO:0031720(haptoglobin binding);GO:0031838(haptoglobin-hemoglobin complex);GO:0042744(hydrogen peroxide catabolic process);GO:0043177(organic acid binding);GO:0046872(metal ion binding);GO:0051291(protein heterooligomerization);GO:0098869(cellular oxidant detoxification)",NA,"K13826",NA,"yes"
"45","Hypoxia-related responses (mitophagy/autophagy/stresses)","","","","","","",NA,NA,NA,NA,"","","","","",""
"46","Hypoxia-related responses (mitophagy/autophagy/stresses)","Glucose metabolism","","","","","",NA,NA,NA,NA,"","","","","",""
"47","Hypoxia-related responses (mitophagy/autophagy/stresses)","ENSBTAG00000001032","glucose metabolism","rate-limiting step in glycogen catabolism.phosphorolytic cleavage of glycogen to produce glucose-1-phosphate,","","PYGM","glycogen phosphorylase, muscle associated ",237.85,7.89,0.01,0.03,"up","GO:0004645(phosphorylase activity);GO:0005737(cytoplasm);GO:0005975(carbohydrate metabolic process);GO:0005980(glycogen catabolic process);GO:0008184(glycogen phosphorylase activity);GO:0016740(transferase activity);GO:0016757(transferase activity, transferring glycosyl groups);GO:0030170(pyridoxal phosphate binding);GO:0102250(linear malto-oligosaccharide phosphorylase activity);GO:0102499(SHG alpha-glucan phosphorylase activity)","00500(Starch and sucrose metabolism);04217(Necroptosis);04910(Insulin signaling pathway);04922(Glucagon signaling pathway);04931(Insulin resistance)","K00688","EC:2.4.1.1","yes"
"50","Hypoxia-related responses (mitophagy/autophagy/stresses)","ENSBTAG00000018647","glucose metabolism","glucose and fructose transport","","SLC2A11","solute carrier family 2 member 11 ",5.23,2.39,0,0.01,"up","GO:0005215(transporter activity);GO:0016020(membrane);GO:0016021(integral component of membrane);GO:0022857(transmembrane transporter activity);GO:0055085(transmembrane transport);GO:0055085(transmembrane transport)",NA,"K08148",NA,"yes"
"52","Hypoxia-related responses (mitophagy/autophagy/stresses)","ENSBTAG00000013099","Glycolysis/Gluconeogenesis"," a member of the class I fructose-biphosphate aldolase gene family","","ALDOC","aldolase, fructose-bisphosphate C ",4.31,2.11,0,0,"up","GO:0003824(catalytic activity);GO:0004332(fructose-bisphosphate aldolase activity);GO:0006096(glycolytic process);GO:0008092(cytoskeletal protein binding);GO:0016829(lyase activity);GO:0030388(fructose 1,6-bisphosphate metabolic process);GO:0030855(epithelial cell differentiation)","00010(Glycolysis / Gluconeogenesis);00030(Pentose phosphate pathway);00051(Fructose and mannose metabolism)","K01623","EC:4.1.2.13","yes"
"53","Hypoxia-related responses (mitophagy/autophagy/stresses)","ENSBTAG00000020481","glucose metabolism","glycosylation, elongates O-linked glucose bound to epidermal growth factor (EGF) repeats","","GXYLT2","glucoside xylosyltransferase 2 ",3.12,1.64,0,0,"up","GO:0016266(O-glycan processing);GO:0016740(transferase activity);GO:0016757(transferase activity, transferring glycosyl groups);GO:0035252(UDP-xylosyltransferase activity)","00514(Other types of O-glycan biosynthesis)","K13676","EC:2.4.2.-","yes"
"54","Hypoxia-related responses (mitophagy/autophagy/stresses)","ENSBTAG00000019782","glycolysis and gluconeogenesis.","catalyzes the isomerization of glyceraldehydes 3-phosphate (G3P) and dihydroxy-acetone phosphate (DHAP)","","TPI1","triosephosphate isomerase 1 ",2.34,1.23,0,0,"up","GO:0003824(catalytic activity);GO:0004807(triose-phosphate isomerase activity);GO:0005737(cytoplasm);GO:0005829(cytosol);GO:0006006(glucose metabolic process);GO:0006094(gluconeogenesis);GO:0006096(glycolytic process);GO:0007275(multicellular organism development);GO:0008929(methylglyoxal synthase activity);GO:0016829(lyase activity);GO:0016853(isomerase activity);GO:0019242(methylglyoxal biosynthetic process);GO:0019563(glycerol catabolic process);GO:0019682(glyceraldehyde-3-phosphate metabolic process);GO:0031625(ubiquitin protein ligase binding);GO:0042803(protein homodimerization activity);GO:0046166(glyceraldehyde-3-phosphate biosynthetic process)","00010(Glycolysis / Gluconeogenesis);00051(Fructose and mannose metabolism);00562(Inositol phosphate metabolism)","K01803","EC:5.3.1.1","yes"
"55","Hypoxia-related responses (mitophagy/autophagy/stresses)","ENSBTAG00000039197","glucose metabolism","low-capacity glucose and fructose transporter activity","","SLC2A9","solute carrier family 2 member 9 ",2.18,1.12,0,0,"up","GO:0005215(transporter activity);GO:0005355(glucose transmembrane transporter activity);GO:0005886(plasma membrane);GO:0015143(urate transmembrane transporter activity);GO:0016020(membrane);GO:0016021(integral component of membrane);GO:0022857(transmembrane transporter activity);GO:0046415(urate metabolic process);GO:0055085(transmembrane transport);GO:1904659(glucose transmembrane transport);GO:1904659(glucose transmembrane transport)",NA,"K08146",NA,"yes"
"56","Hypoxia-related responses (mitophagy/autophagy/stresses)","ENSBTAG00000012927","Glycolysis/Gluconeogenesis","Catalyzes the reversible conversion of beta-D-fructose 1,6-bisphosphate (FBP) into two triose phosphate","","ALDOA","aldolase, fructose-bisphosphate A ",2.03,1.02,0,0,"up","GO:0003824(catalytic activity);GO:0004332(fructose-bisphosphate aldolase activity);GO:0006096(glycolytic process);GO:0016829(lyase activity);GO:0016829(lyase activity)","00010(Glycolysis / Gluconeogenesis);00030(Pentose phosphate pathway);00051(Fructose and mannose metabolism);00051(Fructose and mannose metabolism)","K01623","EC:4.1.2.13","yes"
"57","Hypoxia-related responses (mitophagy/autophagy/stresses)","ENSBTAG00000003074","glucose metabolism/glycolysis","monocarboxylic acid transport.  such as lactate, pyruvate, branched-chain oxo acids derived from leucine, valine and isoleucine,and the ketone bodies acetoacetate, beta-hydroxybutyrate and acetate","","SLC16A6","solute carrier family 16 member 6 ",0.46,-1.12,0,0,"down","GO:0005887(integral component of plasma membrane);GO:0008028(monocarboxylic acid transmembrane transporter activity);GO:0015718(monocarboxylic acid transport);GO:0016020(membrane);GO:0016021(integral component of membrane);GO:0055085(transmembrane transport)",NA,"K08183",NA,"yes"
"58","Hypoxia-related responses (mitophagy/autophagy/stresses)","ENSBTAG00000005386","glucose metabolism","Facilitative hexose transporter that mediates the transport of glucose, fructose and galactose","GluT2","SLC2A2","solute carrier family 2 member 2 ",0.21,-2.28,0,0,"down","GO:0005215(transporter activity);GO:0005355(glucose transmembrane transporter activity);GO:0005737(cytoplasm);GO:0005886(plasma membrane);GO:0005903(brush border);GO:0005911(cell-cell junction);GO:0008643(carbohydrate transport);GO:0016020(membrane);GO:0016021(integral component of membrane);GO:0016324(apical plasma membrane);GO:0022857(transmembrane transporter activity);GO:0033300(dehydroascorbic acid transmembrane transporter activity);GO:0055056(D-glucose transmembrane transporter activity);GO:0055085(transmembrane transport);GO:0070837(dehydroascorbic acid transport);GO:1904659(glucose transmembrane transport);GO:1904659(glucose transmembrane transport)","04911(Insulin secretion);04917(Prolactin signaling pathway);04922(Glucagon signaling pathway);04930(Type II diabetes mellitus);04931(Insulin resistance);04950(Maturity onset diabetes of the young);04973(Carbohydrate digestion and absorption);05230(Central carbon metabolism in cancer);05230(Central carbon metabolism in cancer)","K07593",NA,"yes"
"59","Hypoxia-related responses (mitophagy/autophagy/stresses)","ENSBTAG00000012434","ETC","involved in plasma membrane electron transport pathways, reducing nicotinamide adenine dinucleotide (NAD+) to NADH","","ENOX1","ecto-NOX disulfide-thiol exchanger 1 ",792.34,9.63,0,0,"up","GO:0003676(nucleic acid binding);GO:0003723(RNA binding);GO:0005886(plasma membrane);GO:0007624(ultradian rhythm);GO:0009897(external side of plasma membrane);GO:0016491(oxidoreductase activity);GO:0055114(oxidation-reduction process)",NA,NA,NA,"yes"
"60","Hypoxia-related responses (mitophagy/autophagy/stresses)","ENSBTAG00000003174","ETC/OXPHOS"," translocation of protons across the inner mitochondrial membrane","","NDUFAF4","NADH:ubiquinone oxidoreductase complex assembly factor 4 ",0.47,-1.1,0,0,"down","GO:0005516(calmodulin binding);GO:0005739(mitochondrion);GO:0010257(NADH dehydrogenase complex assembly);GO:0016020(membrane);GO:0031966(mitochondrial membrane);GO:0032981(mitochondrial respiratory chain complex I assembly)","04714(Thermogenesis)","K18161",NA,"yes"
"66","Lipid metabolism","ENSBTAG00000002473","glucose/lipid metabolism","modulating triacylglycerol homeostasis","","ANGPTL4","angiopoietin like 4 ",9.34,3.22,0,0,"up","GO:0001525(angiogenesis);GO:0004857(enzyme inhibitor activity);GO:0005576(extracellular region);GO:0005615(extracellular space);GO:0007275(multicellular organism development);GO:0030154(cell differentiation);GO:0042802(identical protein binding);GO:0043066(negative regulation of apoptotic process);GO:0051005(negative regulation of lipoprotein lipase activity);GO:0070328(triglyceride homeostasis);GO:2000352(negative regulation of endothelial cell apoptotic process);GO:2000352(negative regulation of endothelial cell apoptotic process)","03320(PPAR signaling pathway);04979(Cholesterol metabolism);04979(Cholesterol metabolism)","K08767",NA,"yes"
"68","Lipid metabolism","ENSBTAG00000019980","lipid metabolism"," regulate the intracellular concentration of diacylglycerol through its phosphorylation","","DGKI","diacylglycerol kinase iota ",2.52,1.34,0,0,"up","GO:0000166(nucleotide binding);GO:0003951(NAD+ kinase activity);GO:0004143(diacylglycerol kinase activity);GO:0005095(GTPase inhibitor activity);GO:0005515(protein binding);GO:0005524(ATP binding);GO:0005634(nucleus);GO:0005654(nucleoplasm);GO:0005737(cytoplasm);GO:0007165(signal transduction);GO:0007205(protein kinase C-activating G protein-coupled receptor signaling pathway);GO:0007269(neurotransmitter secretion);GO:0016301(kinase activity);GO:0016310(phosphorylation);GO:0016740(transferase activity);GO:0017016(Ras GTPase binding);GO:0032045(guanyl-nucleotide exchange factor complex);GO:0032991(protein-containing complex);GO:0035556(intracellular signal transduction);GO:0043087(regulation of GTPase activity);GO:0043197(dendritic spine);GO:0045202(synapse);GO:0046339(diacylglycerol metabolic process);GO:0046486(glycerolipid metabolic process);GO:0046579(positive regulation of Ras protein signal transduction);GO:0046834(lipid phosphorylation);GO:0046959(habituation);GO:0048471(perinuclear region of cytoplasm);GO:0051966(regulation of synaptic transmission, glutamatergic);GO:0060079(excitatory postsynaptic potential);GO:0098685(Schaffer collateral - CA1 synapse);GO:0098978(glutamatergic synapse);GO:1900452(regulation of long-term synaptic depression);GO:2000300(regulation of synaptic vesicle exocytosis)","00561(Glycerolipid metabolism);00564(Glycerophospholipid metabolism);04070(Phosphatidylinositol signaling system);04072(Phospholipase D signaling pathway);05231(Choline metabolism in cancer)","K00901","EC:2.7.1.107","yes"
"69","Lipid metabolism","ENSBTAG00000024387","lipid metabolism","catalyze the cleavage of fatty acids from membrane phospholipids","","PNPLA8","patatin like phospholipase domain containing 8 ",2.42,1.28,0,0,"up","GO:0001516(prostaglandin biosynthetic process);GO:0005777(peroxisome);GO:0005778(peroxisomal membrane);GO:0006629(lipid metabolic process);GO:0006631(fatty acid metabolic process);GO:0008219(cell death);GO:0016020(membrane);GO:0016042(lipid catabolic process);GO:0016787(hydrolase activity);GO:0019369(arachidonic acid metabolic process);GO:0034638(phosphatidylcholine catabolic process);GO:0043651(linoleic acid metabolic process);GO:0046338(phosphatidylethanolamine catabolic process);GO:0047499(calcium-independent phospholipase A2 activity);GO:0050482(arachidonic acid secretion)",NA,"K16815",NA,"yes"
"70","Lipid metabolism","ENSBTAG00000018041","Lipid metabolism","catalyze the dehydrogenation of acyl-CoA derivatives in the metabolism of fatty acids or branch chained amino acids","","ACADSB","acyl-CoA dehydrogenase short/branched chain ",2.34,1.23,0.01,0.03,"up","GO:0003995(acyl-CoA dehydrogenase activity);GO:0005739(mitochondrion);GO:0005759(mitochondrial matrix);GO:0006629(lipid metabolic process);GO:0006631(fatty acid metabolic process);GO:0016491(oxidoreductase activity);GO:0016627(oxidoreductase activity, acting on the CH-CH group of donors);GO:0050660(flavin adenine dinucleotide binding);GO:0055114(oxidation-reduction process)","00071(Fatty acid degradation);00280(Valine, leucine and isoleucine degradation)","K09478","EC:1.3.99.12","yes"
"72","Lipid metabolism","ENSBTAG00000039686","Lipid metabolism","the conversion of activated fatty acids to the corresponding non-esterified fatty acid and coenzyme A","","ACOT11","acyl-CoA thioesterase 11 ",2.07,1.05,0,0,"up","GO:0000062(fatty-acyl-CoA binding);GO:0005829(cytosol);GO:0006637(acyl-CoA metabolic process);GO:0008289(lipid binding);GO:0016290(palmitoyl-CoA hydrolase activity);GO:0016787(hydrolase activity);GO:0016790(thiolester hydrolase activity);GO:0036042(long-chain fatty acyl-CoA binding);GO:0047617(acyl-CoA hydrolase activity);GO:1900535(palmitic acid biosynthetic process);GO:1900535(palmitic acid biosynthetic process)",NA,NA,NA,"yes"
"73","Lipid metabolism","ENSBTAG00000008124","lipid metabolism","glycerol uptake and metabolism","","GK","glycerol kinase ",0.49,-1.04,0,0,"down","GO:0000166(nucleotide binding);GO:0004370(glycerol kinase activity);GO:0005524(ATP binding);GO:0005737(cytoplasm);GO:0005739(mitochondrion);GO:0005741(mitochondrial outer membrane);GO:0005975(carbohydrate metabolic process);GO:0006071(glycerol metabolic process);GO:0006072(glycerol-3-phosphate metabolic process);GO:0006641(triglyceride metabolic process);GO:0016020(membrane);GO:0016301(kinase activity);GO:0016310(phosphorylation);GO:0016740(transferase activity);GO:0016773(phosphotransferase activity, alcohol group as acceptor);GO:0019563(glycerol catabolic process);GO:0046167(glycerol-3-phosphate biosynthetic process);GO:0046167(glycerol-3-phosphate biosynthetic process)","00561(Glycerolipid metabolism);03320(PPAR signaling pathway);03320(PPAR signaling pathway)","K00864","EC:2.7.1.30","yes"
"74","Lipid metabolism","ENSBTAG00000019625","Lipid metabolism","?peroxisomal beta-oxidation pathway","","EHHADH","enoyl-CoA hydratase and 3-hydroxyacyl CoA dehydrogenase ",0.48,-1.05,0,0,"down","GO:0003824(catalytic activity);GO:0003857(3-hydroxyacyl-CoA dehydrogenase activity);GO:0005102(signaling receptor binding);GO:0005777(peroxisome);GO:0006475(internal protein amino acid acetylation);GO:0006631(fatty acid metabolic process);GO:0006635(fatty acid beta-oxidation);GO:0016491(oxidoreductase activity);GO:0019899(enzyme binding);GO:0055114(oxidation-reduction process);GO:0055114(oxidation-reduction process)","00071(Fatty acid degradation);00280(Valine, leucine and isoleucine degradation);00310(Lysine degradation);00380(Tryptophan metabolism);00410(beta-Alanine metabolism);00640(Propanoate metabolism);00650(Butanoate metabolism);03320(PPAR signaling pathway);04146(Peroxisome);04146(Peroxisome)","K07514","1.1.1.35;5.3.3.8;EC:4.2.1.17","yes"
"75","Lipid metabolism","ENSBTAG00000017567","Lipid metabolism"," catalyzes the carboxylation of acetyl-CoA to malonyl-CoA, the rate-limiting step in fatty acid synthesis.","","ACACA","acetyl-CoA carboxylase alpha ",0.43,-1.23,0,0,"down","GO:0000166(nucleotide binding);GO:0001650(fibrillar center);GO:0001894(tissue homeostasis);GO:0003989(acetyl-CoA carboxylase activity);GO:0005524(ATP binding);GO:0005829(cytosol);GO:0006084(acetyl-CoA metabolic process);GO:0006629(lipid metabolic process);GO:0006633(fatty acid biosynthetic process);GO:0015629(actin cytoskeleton);GO:0016874(ligase activity);GO:0019538(protein metabolic process);GO:0042802(identical protein binding);GO:0046872(metal ion binding);GO:0051289(protein homotetramerization);GO:0055088(lipid homeostasis);GO:0071380(cellular response to prostaglandin E stimulus);GO:0071380(cellular response to prostaglandin E stimulus)","00061(Fatty acid biosynthesis);00620(Pyruvate metabolism);00640(Propanoate metabolism);04152(AMPK signaling pathway);04910(Insulin signaling pathway);04922(Glucagon signaling pathway);04922(Glucagon signaling pathway)","K11262","2.1.3.15;6.3.4.14;EC:6.4.1.2","yes"
"76","Lipid metabolism","ENSBTAG00000015498","Lipid metabolism","participate in the biosynthesis of fatty acids","","ELOVL4","ELOVL fatty acid elongase 4 ",0.33,-1.58,0,0,"down","GO:0005783(endoplasmic reticulum);GO:0005789(endoplasmic reticulum membrane);GO:0006629(lipid metabolic process);GO:0006631(fatty acid metabolic process);GO:0006633(fatty acid biosynthetic process);GO:0006636(unsaturated fatty acid biosynthetic process);GO:0009922(fatty acid elongase activity);GO:0016020(membrane);GO:0016021(integral component of membrane);GO:0016740(transferase activity);GO:0019367(fatty acid elongation, saturated fatty acid);GO:0030148(sphingolipid biosynthetic process);GO:0030176(integral component of endoplasmic reticulum membrane);GO:0034625(fatty acid elongation, monounsaturated fatty acid);GO:0034626(fatty acid elongation, polyunsaturated fatty acid);GO:0035338(long-chain fatty-acyl-CoA biosynthetic process);GO:0042761(very long-chain fatty acid biosynthetic process);GO:0102336(3-oxo-arachidoyl-CoA synthase activity);GO:0102337(3-oxo-cerotoyl-CoA synthase activity);GO:0102338(3-oxo-lignoceronyl-CoA synthase activity);GO:0102756(very-long-chain 3-ketoacyl-CoA synthase activity)","00062(Fatty acid elongation);01040(Biosynthesis of unsaturated fatty acids)","K10249","EC:2.3.1.199","yes"
"77","Lipid metabolism","ENSBTAG00000006896","Lipid metabolism","transport various molecules across extra- and intracellular membranes","","ABCA9","ATP binding cassette subfamily A member 9 ",0.01,-6.83,0.05,0.11,"down","GO:0000166(nucleotide binding);GO:0005319(lipid transporter activity);GO:0005524(ATP binding);GO:0006869(lipid transport);GO:0016020(membrane);GO:0016021(integral component of membrane);GO:0016887(ATPase activity);GO:0042626(ATPase activity, coupled to transmembrane movement of substances);GO:0043231(intracellular membrane-bounded organelle);GO:0055085(transmembrane transport)","02010(ABC transporters)","K05651",NA,"yes"
"78","Lipid metabolism","ENSBTAG00000004297","Lipid metabolism/mito£¿"," breakdown of certain fat molecules called very long-chain fatty acids (VLCFAs)","peroxisome","ACOXL","acyl-CoA oxidase like ",0,-8.61,0.03,0.07,"down","GO:0003997(acyl-CoA oxidase activity);GO:0005504(fatty acid binding);GO:0005777(peroxisome);GO:0006631(fatty acid metabolic process);GO:0006635(fatty acid beta-oxidation);GO:0016627(oxidoreductase activity, acting on the CH-CH group of donors);GO:0033540(fatty acid beta-oxidation using acyl-CoA oxidase);GO:0050660(flavin adenine dinucleotide binding);GO:0055088(lipid homeostasis);GO:0055114(oxidation-reduction process);GO:0071949(FAD binding);GO:0071949(FAD binding)",NA,NA,NA,"yes"
"82","Hormones/growth factors","ENSBTAG00000047604","hormone reaction"," estrogen activation and androgen inactivation and plays a major role in establishing the estrogen E2 concentration gradient between serum and peripheral tissues","","HSD17B1","hydroxysteroid 17-beta dehydrogenase 1 ",1907.9,10.9,0,0,"up","GO:0004303(estradiol 17-beta-dehydrogenase activity);GO:0005737(cytoplasm);GO:0005829(cytosol);GO:0006703(estrogen biosynthetic process);GO:0016491(oxidoreductase activity);GO:0055114(oxidation-reduction process)","00140(Steroid hormone biosynthesis);04913(Ovarian steroidogenesis)","K00044","EC:1.1.1.62","yes"
"83","Hormones/growth factors","ENSBTAG00000033096","coexist with hormone","family of glyco- proteins produced by binucleate cells of the ruminant placenta","","PAG2","pregnancy-associated glycoprotein 2 ",1547.19,10.6,0.02,0.06,"up","GO:0004190(aspartic-type endopeptidase activity);GO:0005576(extracellular region);GO:0005615(extracellular space);GO:0006508(proteolysis);GO:0008233(peptidase activity);GO:0016787(hydrolase activity);GO:0030163(protein catabolic process)","04974(Protein digestion and absorption)","K06002","EC:3.4.23.1","yes"
"84","Hormones/growth factors","ENSBTAG00000001687","hypocalcemic hormone","cellular calcium/phosphate homeostasis","","STC1","stanniocalcin 1 ",55.23,5.79,0,0,"up","GO:0001886(endothelial cell morphogenesis);GO:0003421(growth plate cartilage axis specification);GO:0005179(hormone activity);GO:0005576(extracellular region);GO:0005615(extracellular space);GO:0005634(nucleus);GO:0005737(cytoplasm);GO:0006874(cellular calcium ion homeostasis);GO:0010469(regulation of signaling receptor activity);GO:0010596(negative regulation of endothelial cell migration);GO:0030336(negative regulation of cell migration);GO:0035988(chondrocyte proliferation);GO:0044070(regulation of anion transport);GO:0051926(negative regulation of calcium ion transport);GO:0060348(bone development);GO:0086004(regulation of cardiac muscle cell contraction);GO:0090280(positive regulation of calcium ion import);GO:1903403(negative regulation of renal phosphate excretion)",NA,NA,NA,"yes"
"85","Hormones/growth factors","ENSBTAG00000001823","hypocalcemic hormone"," calcium and phosphate homeostasis.","","STC2","stanniocalcin 2 ",5.73,2.52,0,0,"up","GO:0005179(hormone activity);GO:0005576(extracellular region);GO:0005783(endoplasmic reticulum);GO:0005794(Golgi apparatus);GO:0006874(cellular calcium ion homeostasis);GO:0006979(response to oxidative stress);GO:0010469(regulation of signaling receptor activity);GO:0010629(negative regulation of gene expression);GO:0019899(enzyme binding);GO:0020037(heme binding);GO:0030968(endoplasmic reticulum unfolded protein response);GO:0034976(response to endoplasmic reticulum stress);GO:0040015(negative regulation of multicellular organism growth);GO:0042803(protein homodimerization activity);GO:0046885(regulation of hormone biosynthetic process);GO:0048471(perinuclear region of cytoplasm);GO:0055074(calcium ion homeostasis);GO:2001256(regulation of store-operated calcium entry)",NA,NA,NA,"yes"
"86","Hormones/growth factors","ENSBTAG00000019453","redox/hormone"," glutathione-dependent prostaglandin E synthase","","PTGES","prostaglandin E synthase ",13.31,3.73,0,0,"up","GO:0001516(prostaglandin biosynthetic process);GO:0004364(glutathione transferase activity);GO:0005641(nuclear envelope lumen);GO:0005737(cytoplasm);GO:0005739(mitochondrion);GO:0006629(lipid metabolic process);GO:0006631(fatty acid metabolic process);GO:0006633(fatty acid biosynthetic process);GO:0006693(prostaglandin metabolic process);GO:0006749(glutathione metabolic process);GO:0008285(negative regulation of cell population proliferation);GO:0016020(membrane);GO:0016021(integral component of membrane);GO:0016853(isomerase activity);GO:0043295(glutathione binding);GO:0050220(prostaglandin-E synthase activity);GO:0055114(oxidation-reduction process);GO:0071347(cellular response to interleukin-1)","00590(Arachidonic acid metabolism)","K15729","EC:5.3.99.3","yes"
